Director,Rating_Director
Amira Bhargava,6.6
Amit Agarwal,4.6
Amit Bose,6.8
Amit Dutta,6.949999999999999
Amit Kasaria,6.0
Amit Khanna,5.466666666666666
Amit Kumar,6.6
Amit Masurkar,7.4
Amit Mitra,8.2
Amit Rai,7.4
Amit Ravindernath Sharma,6.0
Amit Roy,6.6
Amit Saxena,4.2
Amit Singh,4.3
Amit Vats,5.5
Amitabha Singh,6.4
Amitoj Mann,4.75
Amiya Chakrabarty,7.1571428571428575
Amjad Khan,4.0
Amol Palekar,6.640000000000001
Amol Shetge,4.133333333333334
Amole Gupte,6.466666666666666
Amrit Nahata,7.1
Amrit Sagar,6.199999999999999
Anamika Haksar,6.1
Anand,4.8
Anand Balraj,3.9
Anand Dutta,6.1
Anand Gaekwad,4.2
Anand Gandhi,8.1
Anand P. Raju,7.8
Anand Patwardhan,7.8
Anand Sagar,5.7
Anand Surapur,5.1
Anand Tiwari,7.2
Anant Balani,4.75
Anant Thakur,7.7
Anant Tripathi,5.1
Ananth Narayan Mahadevan,5.233333333333333
Ananya Kasarvalli,5.9
Andaleeb Sultanpuri,4.8
Andreas Koefoed,6.8
Andrzej Bartkowiak,3.7
Anees Bazmee,5.323076923076924
Ang Lee,7.9
Anil,3.4
Anil Chaudhary,3.9
Anil Chorasiya,6.1
Anil Devgan,4.2
Anil Ganguly,5.916666666666667
Anil Hingorani,6.4
Anil Kumar Sharma,3.3
Anil Mattoo,5.2
Anil Mehta,6.2
Anil Naryani,6.2
Anil Senior,5.7
Anil Sharma,5.538461538461538
Anil Srikantam,5.4
Aniruddha Roy Chowdhury,7.4
Anirudh Chawla,3.5
Anish Khanna,2.6
Anita Udeep,5.5
Anjan Dutt,6.6
Ankush,2.7
Ankush Bhatt,5.966666666666666
Annant Jaaitpaal,4.6
Annu Kapoor,7.0
Anshai Lal,6.1
Anshul Adhikari,6.2
Anshul Sharma,7.1
Anshul Sinha,8.3
Antara Mali,3.6
Anthony D'Souza,4.833333333333333
Anthony Maras,7.6
Anu Menon,6.333333333333333
Anubhav Sinha,5.67
Anup Das,4.4
Anup Kurian,6.25
Anup Samaddar,6.1
Anup Singh,5.9
Anupam Kher,5.5
Anupam Sinha,5.1
Anurag Basu,6.2700000000000005
Anurag Jha,5.550000000000001
Anurag Kashyap,7.385714285714286
Anurag Kawatra,8.5
Anurag Singh,5.3999999999999995
Anusha Rizvi,7.4
Anvita Dutt,6.6
Anwar Pasha,5.699999999999999
Anwer Khan,4.05
Aparna Sen,6.816666666666666
Aparnaa Singh,6.3
Apoorva Lakhia,4.4399999999999995
Apurba Kishore Bir,6.5
Apurva Asrani,3.3
Apurva Dhar Badgaiyann,7.0
Arati Kadav,5.7
Aravind Sen,6.025
Arbaaz Khan,4.8
Ardeshir Irani,6.2
Arif Ali,4.9
Arindam Chaudhuri,4.3
Arindam Mitra,6.8
Arindam Nandy,5.4
Arjun Bali,5.5
Arjun Hingorani,5.8
Arjun Mukerjee,6.9
Arjun Sablok,4.1
Arjun Sajnani,4.6
Arjun Sarja,4.3
Arka Ganguly,6.8
Arnab Chaudhuri,6.8
Aron Govil,5.8
Arpa Khan,7.4
Arshad Khan,4.6
Arshad Siddiqui,6.95
Arun Bhatt,5.699999999999999
Arun Kaul,7.0
Arun Kumar Rapolu,6.5
Aruna Raje,4.8
Arup Dutta,5.95
Aryan Neeraaj Anand,9.0
Aryeman Ramsay,3.6
Asad Shan,5.2
Ashim Ahluwalia,6.4
Ashim Bhattacharya,3.8
Ashim S. Samanta,5.471428571428571
Ashima Chibber,6.4
Ashish Aryan,6.3
Ashish Deo,7.4
Ashish Lal,6.8
Ashish R. Mohan,4.3
Ashish R. Shukla,6.449999999999999
Ashok,3.6
Ashok G.,3.8
Ashok Gaekwad,4.808333333333334
Ashok Ghai,3.5
Ashok Gupta,4.8
Ashok Honda,4.266666666666667
Ashok Kaul,6.4
Ashok Kheny,3.4
Ashok Kohli,2.9
Ashok Mehta,4.9
Ashok Nanda,4.966666666666666
Ashok Roy,5.928571428571429
Ashok Tyagi,5.5
Ashok V. Bhushan,6.5
Ashok Yadav,5.7
Ashoke Pandit,6.2
Ashtar Sayed,5.45
Ashu Trikha,4.3
Ashutosh Gowariker,6.300000000000001
Ashvin Kumar,5.966666666666666
Ashwani Dhir,5.275
Ashwin Shetty,7.1
Ashwini Chaudhary,4.9799999999999995
Ashwiny Iyer Tiwari,7.533333333333334
Asif Kapadia,6.7
Asit Kumar Sen,7.45
Asit Sen,7.045454545454546
Aspi Irani,6.5
Asrani,5.533333333333334
Atanu Mukherjee,6.4
Atlanta Nagendra,5.2
Atma Ram,6.8
Atul Agnihotri,3.85
Atul Sabharwal,6.15
Avani Rai,6.4
Avinash Das,5.550000000000001
Avinash Dhyani,5.3
Avinash Kumar Singh,6.6
Avtar Bhogal,4.85
Awtar Krishna Kaul,6.9
Ayan Mukherjee,7.35
Ayush Raina,4.2
Aziz Khan,6.6
Aziz Mirza,6.32
Aziz Naser,6.933333333333333
Aziz Sejawal,4.954545454545454
Aziz Zee,4.0
B. Gupta,4.5
B. Krishna Rao,3.8
B. Padmanabham,6.7
B. Ramakrishnaiah Panthulu,7.0
B. Trilochan,7.6
B. Vittalacharya,6.6
B.H. Tharun Kumar,4.675
B.R. Chopra,7.0125
B.R. Ishara,6.3125
B.S. Glaad,6.6
B.S. Thapa,5.45
Baadal,2.3
Baba Azmi,6.7
Babbar Subhash,5.291666666666667
Babu Mohan,7.5
Babu Yogeswaran,3.1
Babubhai Mistry,6.488888888888889
Baby,5.8
Balasekaran,5.35
Balbir Wadhawan,6.7
Balraj Tah,7.0
Balu Mahendra,7.7
Balwant Bhatt,7.2
Bappaditya Bandopadhyay,5.3999999999999995
Bappaditya Roy,7.2
Bapu,6.720000000000001
Basu Bhattacharya,6.9799999999999995
Basu Chatterjee,6.719354838709678
Bat for Lashes,5.4
Batul Mukhtiar,8.2
Bauddhayan Mukherji,6.9
Bedabrata Pain,7.3
Beena Banerjee,5.2
Behzad Khambata,6.2
Bejoy Nambiar,6.9799999999999995
Bela Negi,6.3
Bela Segal,4.2
Bhagyaraj,6.0
Bhalji Pendharkar,8.3
Bhanu Pratap Singh,5.4
Bhappi Sonie,6.661538461538461
Bharat Dabholkar,5.6
Bharat Jain,4.2
Bharat Kapoor,3.6
Bharat Rangachary,5.571428571428571
Bharathan,7.7
Bharathiraja,6.0600000000000005
Bhavik Thakore,6.4
Bhavin Wadia,6.4
Bhavna Talwar,7.7
Bhimsain,6.9
Bhupender Gupta,3.3
Bhupendra Bhattarai,7.1
Bhushan Patel,3.775
Bibhuti Mitra,6.566666666666666
Bidisha Adhikari,6.5
Bijukumar Damodaran,6.7
Bikas Ranjan Mishra,6.5
Bikramjeet Bhullar,5.2
Bimal Roy,7.409090909090909
Binod Pradhan,3.8
Bipin Nadkarni,7.5
Biren Nag,6.9
Bishnu Dev Halder,6.4
Biswajeet Bora,6.6
Biswajit Chatterjee,5.2
Bobby Khan,3.7
Bobby Kumar,9.6
Bobby Raj,4.55
Boopathy Pandian,3.8
Bornila Chatterjee,7.2
Boyapati Srinu,5.4
Brahmanand S. Singh,8.233333333333333
Brij,6.585714285714286
Brijesh Batuknath Tripathi,2.8
Bruce Parry,7.4
Buddhadev Dasgupta,6.333333333333333
Bugs Bhargava Krishna,7.35
Bumpy,5.35
Bunty Soorma,4.8
C. Jenner Jose,6.2
C.L. Rawal,6.133333333333333
C.M. Jain,3.9
C.P. Dixit,5.5200000000000005
C.V. Rajendran,6.7
C.V. Sridhar,6.575
Chaitanya Tamhane,7.7
Chakri Toleti,2.55
Chand,6.066666666666666
Chandan Arora,6.7
Chander H. Bahl,5.35
Chander Mishra,4.1
Chander Vohra,5.633333333333333
Chandra Barot,7.8
Chandra Prakash Dwivedi,7.066666666666667
Chandra Sekhar Yeleti,6.55
Chandrakant,7.025
Chandrakant Joshi,6.3
Chandrakant Kanse,6.2
Chandrakant Kulkarni,5.45
Chandrakant Singh,4.36
Chandrasekhar Reddy,7.0
Chandrashekhar,5.2
Chandulal Shah,7.6
Charudutt Acharya,5.3
Chawla,7.1
Chella,3.0
Cherag Ruparel,8.0
Chetan Anand,7.042857142857143
Chetan Desai,5.9
Chi Gurudutt,6.6
Chinni Prakash,5.4
Chitraarth,8.1
Chitrayug,6.2
Chuck Russell,5.6
D. Rajendra Babu,6.366666666666667
D. Rama Naidu,4.8
D. Sumana Kittur,7.4
D.D. Kashyap,6.88
Dada Kondke,5.933333333333334
Dakxin Bajrange,5.4
Daniel Kremer,6.4
Danis Tanovic,7.3
Danish Aslam,5.2
Danny Denzongpa,6.6
Dar Gai,7.0
Dara Singh,6.3
Darshan Bagga,4.9
Dasaradh,6.55
David Dhawan,5.193023255813954
Dayal Nihalani,5.32
Dayal Padmanabhan,8.4
Dayanand,5.7
Deb Medhekar,7.6
Deb Mukherjee,6.2
Debaki Bose,7.2
Debaloy Dey,3.15
Debu Sen,7.2
Dedipya Joshii,7.35
Deekshit Kaul,4.6
Deepa Mehta,6.840000000000001
Deepa Sahi,5.3
Deepak Anand,5.133333333333333
Deepak Bahry,4.607692307692307
Deepak Balraj Vij,5.0200000000000005
Deepak Mahajan,7.9
Deepak Pawar,4.95
Deepak Ramsay,4.45
Deepak Ramteke,5.2
Deepak S. Shivdasani,4.43
Deepak Sareen,4.925
Deepak Tijori,4.3
Deepshikha Nagpal,4.7
Deepthi Tadnaki,8.2
Deepti Bhatnagar,5.9
Deepti Kakkar,7.8
Deepti Naval,6.4
Desh Deepak,6.1
Desh Gautam,6.3
Desh Mukherjee,5.7
Dev Anand,5.610526315789474
Dev Benegal,6.65
Deva Katta,5.9
Devang Dholakia,4.2
Devanshu Singh,7.8
Devashish Makhija,6.933333333333334
Deven Bhojani,5.3
Deven Verma,5.2
Devendra Goel,6.640000000000001
Devendra Mukherjee,6.6
Devi Sharma,6.15
Devika Bhagat,4.2
Dharam Prakash,4.2
Dharan Mandrayar,6.8
Dharani,7.0
Dharmendra Suresh Desai,5.6
Dharmesh Darshan,4.757142857142857
Dhavala Satyam,6.6
Dheeraj Kumar,2.4
Dheeraj Pandit,3.7
Dhiraj Kumar,5.4
Dhirendra Bohra,5.8
Dhirubhai Desai,4.5
Dhorairaj Bhagavan,8.05
Dhruv,3.9
Dhruv Sachdev,8.0
Dhundiraj Govind Phalke,6.7
Dhwanil Mehta,6.2
Diane Cheklich,6.3
Dibakar Banerjee,7.383333333333333
Digvijay Singh,7.0
Dilip Chitre,7.1
Dilip Ghosh,6.2
Dilip Mehta,5.4
Dilip Naik,6.4
Dilip Shankar,3.85
Dilip Shukla,5.4
Dilip Sood,5.65
Din Dayal Sharma,7.2
Dinesh D. Awasthi,3.9
Dinesh Vijan,5.1
Dinkar Kapur,3.8
Dipankar Senapati,2.7
Dipesh Jain,7.1
Divya Khosla Kumar,2.95
Dr. Jay,3.9
Dulal Guha,6.638461538461538
Durai,6.3
Dwarka Khosla,7.1
Dylan Mohan Gray,7.7
E.V.V. Satyanarayana,6.35
Eeshwar Nivas,5.3999999999999995
Ejaz Gulab,5.8
Ektara Collective,8.1
Elan Dassani,4.7
Esmayeel Shroff,5.833333333333333
Faisal Kapdi,2.7
Faisal Khan,3.5
Faisal Saif,5.5
Faisal Simon,6.1
Faiza Ahmad Khan,8.0
Fali Mistry,6.65
Farah Khan,5.325
Faraz Haider,5.65
Fareeda Mehta,6.2
Farhad Samji,3.5
Farhan Akhtar,7.575
Farogh Siddique,5.16
Faruk Kabir,6.366666666666667
Faruq Masudi,5.9
Fauzia Arshi,3.8
Fazil,6.3
Feroz Abbas Khan,6.699999999999999
Feroz Khan,5.4
Firoz Irani,5.0
Francesca Archibugi,6.3
Frank Gladstone,4.1
Franz Osten,6.5
Fuwad Khan,6.3
G. Krishna,3.1
G. Suman Reddy,8.0
G.B. Vijay,6.3
G.N. Rangarajan,6.4
G.P. Sippy,6.8
G.S. Murthy,8.4
G.S. Vijayan,5.3
G.V. Iyer,6.949999999999999
Gagan Puri,4.85
Gaganvihari Borate,6.7
Gajendra Ahire,6.933333333333334
Gajendra Shanker Shrotriya,6.6
Ganapathy Bharat,6.2
Ganesh Acharya,5.266666666666667
Ganpati Bohra,4.2
Garth Davis,8.0
Gaurav Mehra,7.5
Gaurav Pandey,2.6
Gaurav Panjwani,7.5
Gauravv K. Chawla,6.6
Gauri Shinde,7.65
Gautam Adhikari,5.3
Gautam Joshi,9.3
Gautam Singh,5.3
Gautham Vasudev Menon,6.75
Geethu Mohandas,7.15
Ghorban Mohammadpour,3.2
Girish Dhamija,5.05
Girish Girija Joshi,6.1
Girish Karnad,7.2
Girish Kasaravalli,7.2
Girish Malik,6.75
Girish Trivedi,7.7
Gitanjali Rao,6.0
Gitanjali Sinha,6.8
Glen Barreto,5.1
Gogi Anand,5.85
Goldie Behl,2.85
Gopal B.,5.816666666666666
Gopi Desai,6.3
Gopi Puthran,7.4
Gopi Sapru,4.4
Goran Paskaljevic,7.3
Goutam Ghose,7.24
Goutam Pawar,2.5
Govind Menon,4.025
Govind Moonis,7.9
Govind Nihalani,7.1461538461538465
Govind Sakariya,3.7
Govind Saraiya,6.4
Guddu Dhanoa,4.792307692307692
Gul Bahar Singh,7.4
Gulshan Kumar,5.1
Gulzar,7.552941176470589
Gunveen Kaur,5.7
Gurdip Singh,5.9
Gurinder Chadha,6.45
Gurmeet Ram Rahim Singh,6.133333333333333
Gurmmeet Singh,4.833333333333333
Gurpreet Sondh,4.9
Guru Dutt,7.428571428571429
Gurudev Bhalla,4.6
Gurvinder Singh,7.1
Gyan Correa,6.1
Gyan Mukherjee,7.050000000000001
Gyan Sahay,6.4
H. Dinesh,5.8
H.M. Mirza,6.25
Habib Faisal,6.7
Hadi Abrar,3.65
Hadi ali Abar,3.3
Hamid Ali Khan,3.9000000000000004
Hansal Mehta,5.6499999999999995
Hanu Raghavapudi,5.9
Hardik Mehta,6.1
Hari Walia,6.0
Harish Bhosle,4.4
Harish Kumar,5.5
Harish Shah,5.766666666666667
Harish Sharma,6.8
Harish Vyas,6.65
Harmage Singh Kalirai,5.6
Harmesh Malhotra,5.573684210526316
Harnam Singh Rawail,6.6000000000000005
Harry Baweja,4.833333333333333
Harryy W. Fernaandes,3.9
Harsh Chhaya,5.6
Harshavardhan Kulkarni,7.0
Hasnain Hyderabadwala,4.4399999999999995
Hassan Nazer,5.6
Hema Malini,3.75
Hemant Birje,5.0
Hemant Gaba,5.7
Hemant Hegde,5.1
Hemant Madhukar,3.6
Hemant N Mishra,6.8
Hemen Gupta,7.225
Hemendra Kumar Singh,8.6
Himanshu Bhatt,3.7
Himanshu Brahmbhatt,5.25
Hiren Nag,6.333333333333333
Hitesh Kewalya,5.8
Homi Adajania,6.433333333333334
Homi Wadia,5.85
Honey Irani,5.2
Honey Trehan,7.3
Honeypreet Insan,6.199999999999999
Howard Rosemeyer,4.4
Hriday Shetty,5.433333333333333
Hridesh Kamble,6.0
Hrishikesh Mukherjee,7.147499999999999
Hussein Khan,6.7
I.A. Siddique,5.7
I.S. Johar,6.220000000000001
I.V. Sasi,6.6625
Illangkannan,5.6
Imran Khalid,5.5
Imran Khan,4.9
Imtiaz Ali,6.8375
Imtiaz Punjabi,4.6
Inder Raj Anand,5.7
Indra Kumar,5.278571428571429
Indrajit Lankesh,4.25
Indrajit Nattoji,5.0
Indrajit Singh,4.0
Indranil Roychowdhury,7.6
Iqbal Baksh,5.9
Iqbal Durrani,5.324999999999999
Irene Zoe Alameda,5.9
Irfan Kamal,7.1
Irfan Khan,3.6
Irshad,6.4
Irshad Khan,4.8
Ishaan Nair,5.0
Ishaan Trivedi,4.05
Ismail Memon,6.550000000000001
Ismail Merchant,6.449999999999999
Israr Ahmed,3.4
Ivan Ayr,6.9
J. Mahendran,6.9
J. Om Prakash,5.78125
J.D. Chakravarthi,5.35
J.K. Bihari,4.8
J.P. Dutta,6.1
J.S. Randhawa,5.7
Jabbar Patel,6.8
Jag Mundhra,5.214285714285714
Jagan,4.7
Jagan Shakti,6.5
Jagat Joon,7.05
Jagbir Dahiya,6.6
Jagdeep,5.6
Jagdev Bhambri,5.8
Jagdish A. Sharma,3.95
Jagdish Kadar,5.8
Jagdish Nirula,5.3
Jagdish Rajpurohit,6.0
Jagdish Sidana,5.4
Jahnu Barua,6.6
Jai Tank,6.2
Jaideep Chopra,5.949999999999999
Jaideep Sen,4.2
Jaideep Varma,7.65
Jaimin Bal,6.35
Jainendra Jain,5.3
Jaiveer,3.2
Jalal Agha,5.8
Jambulingam,6.199999999999999
James Dodson,6.2
James Erskine,8.6
James Ivory,6.8
Jan Schmidt-Garre,6.7
Janak Toprani,5.6
Janaki Vishwanathan,3.6
Janmendra Ahuja,3.9
Japinder Kaur Baweja,3.7
Jasbir Bijender Bhati,5.800000000000001
Jasmine D'Souza,3.1
Jaspal Bhatti,7.4
Jaspal Singh,3.6
Jaswant Gangani,4.0
Jatin Kumar,8.9
Jatla Siddartha,7.4
Jayabrato Chatterjee,5.1
Jayant Desai,7.2
Jayant Gilatar,5.4
Jayant Paranji,5.8999999999999995
Jayant Prabhakar,8.3
Jayaprakash Radhakrishnan,6.7
Jayaraaj,5.4
Jayesh Pradhan,4.4
Jayoo Patwardhan,7.7
Jayprakkash Shaw,4.2
Jayveer Panghaal,3.5
Jean-François Pouliot,6.0
Jeethu Joseph,5.4
Jeetu,4.3
Jeetu Arora,5.8
Jeeva,4.8
Jeevitha,6.2
Jeffrey D. Brown,6.9
Jeffrey Gee Chin,7.9
Jehangir Surti,5.0
Jennifer Lynch,2.9
Jeong-beom Lee,6.8
Jeppi,3.7
Jignesh V. Vaishnav,3.9
Jijo Punnoose,6.6
Jijy Philip,6.1
Jiten Purohit,4.8
Jitendra Chawda,5.6
Jitendra Pawar,2.4
Jitin Rawat,9.1
Joe Eshwar,6.6
Joe Rajan,5.5
Jogesh Sehdeva,6.8
Joginder Shelly,5.0
Johannes Roberts,5.3
John Madden,6.6
John Mathew Matthan,6.333333333333333
John Owen,7.1
Johny Bakshi,6.5
Jonathan Augustin,7.2
Jose Punnoose,3.1
Joshiy,6.7
Joy Augustine,6.35
Joy Mukherjee,6.8
Jugal Hansraj,4.9
Jugal Kishore,5.0
Jugal Raja,6.8
Jyoti Swaroop,6.475
Jyotin Goel,4.525
K. Amarnath,8.0
K. Balachander,7.1000000000000005
K. Bapaiah,5.366666666666667
K. Bikram Singh,7.2
K. Hariharan,6.800000000000001
K. Muralimohana Rao,4.8076923076923075
K. Narayan Kale,8.0
K. Pappu,5.125
K. Raghavendra Rao,5.7681818181818185
K. Ramanlal,6.0
K. Ravi Shankar,5.181818181818182
K. Shankar,6.716666666666666
K. Subash,6.9
K. Subhash,4.85
K. Thankappan,7.1
K. Vasu,7.7
K. Vijayan,6.5
K. Viswanath,6.2
K.B. Tilak,6.1
K.C. Bokadia,4.2823529411764705
K.C. Handra,2.7
K.D. Satyam,4.65
K.I. Sheikh,2.4
K.K. Singh,5.7
K.P. Sasi,6.7
K.R. Reddy,5.05
K.S. Adiyaman,4.7
K.S. Prakash Rao,7.35
K.S. Ravi,5.5
K.S. Ravikumar,5.949999999999999
K.S. Ravindra,4.7
K.S. Sethumadhavan,6.366666666666667
K.S.R. Das,5.733333333333333
K.V. Raju,5.1
Kaashvi Nair,4.1
Kabeer Kaushik,5.275
Kabir Khan,6.133333333333333
Kabir Sadanand,4.766666666666667
Kabir Singh Chowdhry,6.6
Kader Kashmiri,5.35
Kailash Surendranath,5.1
Kaizad Gustad,3.6
Kajal Naskar,5.5
Kalidas,6.380000000000001
Kalpana Lajmi,6.279999999999999
Kalpataru,6.0
Kamakhya Narayan Singh,7.8
Kamal,3.0
Kamal Amrohi,6.8
Kamal Haasan,7.325
Kamal K.M.,6.9
Kamal Majumdar,6.0
Kamal Nathani,6.2
Kamal Sadanah,5.6
Kamal Swaroop,7.1
Kamalakara Kameshwara Rao,7.8
Kamika Verma,7.0
Kanak Mishra,6.949999999999999
Kanika Batra,6.6
Kanishk Varma,5.0
Kanmani,4.0
Kannan,4.9
Kannan Iyer,5.7
Kannan Thamarakkulam,4.2
Kanti Shah,5.113333333333333
Kanu Behl,7.6
Kanwal Biala,6.1
Kanwal Sethi,6.7
Kapil Kapoor,7.2
Kapil Sharma,4.6
Kapri Vinod,6.050000000000001
Karan Anshuman,4.5
Karan Butani,3.8
Karan Darra,4.0
Karan Gour,6.7
Karan Johar,6.699999999999999
Karan Malhotra,6.7
Karan Radhakrishna,4.8
Karan Razdan,4.05
Karan Vishwanath Kashyap,4.4
Karanjeet Saluja,5.699999999999999
Karu Pazhaniappan,5.5
Kasam Ali,4.3
Kashinath,6.35
Kashmira Shah,4.9
Kathir,6.8
Kaushal Bharati,5.9
Kaushik Ghatak,5.7
Kaushik Roy,6.2
Kaustav Narayan Niyogi,3.4
Kawal Sharma,4.8999999999999995
Kedar Kapoor,6.720000000000001
Kedar Shinde,5.1
Ken Ghosh,5.3999999999999995
Keshhav Panneriy,5.4
Keshu Ramsay,5.825
Ketan Anand,4.8
Ketan Desai,5.3
Ketan Mehta,6.666666666666667
Keval P. Kashyap,6.3
Kewal Misra,5.550000000000001
Khalid Akhtar,6.1
Khalid Mohamed,5.333333333333333
Khalid Y. Batliwalla,5.8
Khushboo Ranka,8.7
Khwaja Ahmad Abbas,7.040000000000001
Kidar Nath Sharma,7.45
Kiran Ramsay,4.8
Kiran Rao,7.0
Kireet Khurana,6.449999999999999
Kirti Kumar,5.116666666666666
Kishan Shah,8.0
Kishan Shrikanth,7.2
Kishore Kumar,7.533333333333332
Kishore Sahu,6.659999999999999
Kishore Vyas,4.0
Kislay,7.9
Kodanda Rami Reddy A.,6.125
Kodi Ramakrishna,5.75
Kolli Pratyagatma,6.5
Komal Tolani,8.6
Kompin Kemgumnird,5.9
Konkona Sen Sharma,7.5
Kookie Gulati,5.15
Kranthi Kumar,6.7
Kranti Kanadé,7.1
Krishan Chopra,6.25
Krishan Hooda,6.8
Krishna D.K.,6.56
Krishna Naidu,5.9
Krishna Shah,6.449999999999999
Krishna Vamsi,6.14
Krishnadev Yagnik,7.3
Krishnakant Pandya,5.2
Kshitij Sharma,7.4
Kuku Kohli,5.225
Kumaar Aadarsh,4.866666666666666
Kumar Anand,4.275
Kumar Bhatia,4.8
Kumar Dave,6.8
Kumar Raj,5.5
Kumar Shahani,6.85
Kunaal Roy Kapur,6.8
Kunal Deshmukh,6.05
Kunal Kohli,5.283333333333333
Kunal Shivdasani,3.7
Kunal Vijaykar,2.8
Kundan Kumar,4.433333333333334
Kundan Shah,5.485714285714286
Kuntaa Nikkil,7.199999999999999
Kushal Ruia,6.7
Kushal Srivastava,5.6
Kushan Nandy,6.166666666666667
L.V. Prasad,6.4375
Lakhwinder Shabla,4.3
Lakshmikanth Chenna,6.8
Lalit Marathe,5.9
Lalit Mohan,4.9
Lasse Hallström,7.3
Lateef Binny,5.05
Latif Faiziyev,5.9
Latif Khan,4.7
Lawrence D'Souza,4.721428571428571
Lawrence Raghavendra,2.4
Laxman Utekar,6.3
Leena Yadav,5.6499999999999995
Lekh Tandon,6.7444444444444445
Lekhraj Bhakri,6.1
Leslee Udwin,8.2
Lom Harsh,5.2
Lovely Singh,3.6
Luke Kenny,3.5
Luv Ranjan,7.05
M. Kumar,7.0
M. Sadiq,6.659999999999999
M.A. Thirumugham,6.7
M.F. Hussain,5.6
M.I. Dharamsey,6.9
M.K. Burman,7.3
M.L. Anand,7.699999999999999
M.M. Baig,5.7
M.R. Shahjahan,5.533333333333334
M.S. Ramesh,6.9
M.S. Sathyu,7.35
M.V. Raman,5.85
Madan Mohla,5.6
Madan Sinha,7.4
Madhu M.,6.9
Madhur Bhandarkar,6.028571428571429
Madhureeta Anand,6.1
Mahaveer Shringi,5.9
Mahender Singh,5.1
Mahendra Shah,3.3
Mahendra Teredesai,4.9
Mahesh Anand,6.0
