Actor,Rating_Actor
Rakhee Gulzar,6.162629399585922
Anjan Srivastav,6.5
Akhilendra Mishra,5.3
Aditya Rawal,7.2
Sanjay Dutt,5.114566210045663
Urmila Bhatt,6.116666666666667
Chetanya Adeep,3.2
Sneha,5.3999999999999995
Suzzana Mukherjee,6.7
Sharifa,4.5
Dilip Kumar,6.961425339366516
Natasha Majhi,5.3
Kuldip Kaur,2.3
Priyamani,5.1
Mohammad Chacha,8.2
Vivek Gomber,7.7
Manoj Joshi,5.15
Mammootty,6.116666666666667
Sabitha Anand,6.0
Amit Sadh,6.623333333333333
Manohar,8.4
Adil Feroz Khan,4.9
Neil Bhoopalam,6.75
Joy Mukherjee,6.575
Shatrughan Sinha,5.416884531590414
Ariana Ayam,5.1
Abhinayasri,4.3
Jamuna,6.333333333333333
Bhanupriya,5.483333333333333
Anna Salunke,6.7
Manil Mayank Mishra,7.8
Meera Jasmine,5.0
Sabitha Perara,8.1
Deep Kumar Singh,7.4
Prem Chopra,4.56875
Faraaz Khan,4.05
Rana Jung Bahadur,5.245833333333334
Ali Haji,5.8
Madhav Kale,8.0
Om Puri,6.123290598290598
Ameeta,5.95
Jaya Seal,6.3
Ranjeet,6.7
Charu Asopa,5.6
Sharan Anandani,6.7
Priya Bapat,7.9
Amrita Acharya,4.9
Rajni Sharma,6.9
Shyama,6.708333333333332
Sophiya Chaudhary,3.7
Ashwini Bhave,5.175
Iti Acharya,6.1
Nirmala,7.4
Sandhya,6.966666666666666
T.R. Narasimharaju,8.0
Amita Pathak,3.4
Armie Hammer,7.6
Apurva Godbole,4.0
Kanwaljit Singh,4.9
Basanta Bhatta,7.1
Sunil Thapa,6.8
Satish Raj Kasireddi,6.6
Saurabh Kumar,7.7
Sanjay Khanna,4.2
Anita Raj,5.311111111111111
Mohammad Reza Golzar,3.8
Ambika,5.074999999999999
Chand Usmani,6.4
Chitrapama,3.3
Vaibhav Raj Gupta,4.9
Shikha Malhotra,7.3
Sameer Deshpande,7.9
Rajveer Ankur Singh,8.3
Priyamvada Narayanan,7.2
Gauri Shankar,4.2
Kunaal Roy Kapur,5.583333333333334
Suchindra Bali,5.6
Raj Rai,7.0
Vijay Aidasani,6.6
Varun Dhawan,5.427777777777777
Smita Malhotra,7.8
Rajshri Deshpande,6.45
Amit Goel,7.0
Udita Goswami,4.008333333333334
Milind Soman,6.1
Kirti Adarkar,8.3
Gagan Singh Sethi,6.3
Arif Zakaria,7.1
Indira Bansal,5.2
Helen,5.475
Arindita Kalita,6.8
Kim,6.5
Johnny Lever,4.5
Nishant Malkani,4.2
Mamta Mohandas,5.95
Tanvi Azmi,6.5
Boloram Das,6.8
Barry John,7.25
Zubeida,6.2
Randeep Hooda,6.225
Mohan Azaad,3.5
Omkar Bhatkar,6.9
Ashok V. Bhushan,3.6
Sohail Khan,4.352380952380953
Rama Vij,8.1
Vipasha Agarwal,4.1
Satish Alekar,7.0
Giovanna Mezzogiorno,6.3
Gaurav Bajaj,5.4
Divya Dutta,5.541666666666667
Ansh Bagri,7.3
Vineeta,5.5
Vimal Bhagat,7.0
Baby Ginni,7.3
Adi Chugh,6.1
Zenia Starr,7.4
Prince Singh,8.4
Vinay Rai,3.3
Amrit,9.3
Mikaal,5.8
Ilene Hamann,5.2
Kritika Kamra,6.9
Leela Naidu,6.8
Victor Banerjee,6.525
Soha Ali Khan,5.975
Tanaaz Currim Irani,4.1
Celina Jaitly,3.225
Manoj Chandila,7.1
Gulshan Devaiah,6.141666666666666
Deepa,4.0
Alfeeya Donna,8.6
Aman Ullah,6.3
Naveed Akhtar,6.2
Syed Pervez,8.0
Lakshmi Kanta,6.7
Sachin Tendulkar,8.6
Lewis Tan,5.7
Vinod Mehra,6.307777777777778
Sarah Wayne Callies,5.3
Rajesh Kumar Singh,6.1
Raja Hasan,4.2
Kamal Haasan,6.495454545454546
Sonali Khare,5.3
Poonam Pandey,4.9
Salma Agha,4.85
Adnan Sajid Khan,7.449999999999999
Kayoze Irani,6.7
Nana Patekar,6.3675
Jagdeep,5.324999999999999
Charlie,6.0
Gitanjali,6.4
Charmy Kaur,4.0
Sameer Aftab,5.2
Lucky Ali,5.45
Jisshu Sengupta,7.6
Javed Jaffrey,5.6
Ishita Raj,4.4
Harkiran Kaur Wraich,8.7
Shanti Priya,3.6
Abhishek Bharate,7.4
Anurita Jha,5.4
Ashish Vidyarthi,5.449999999999999
Brijendra Kala,6.75
Mukul Dev,4.766666666666667
Nirupa Roy,7.185714285714285
Uma Anand,6.8
Ajinkya Deo,6.5
Heeba Shah,6.0
Anoop Kumar,7.4
Punit Pathak,4.4
Avantika Akerkar,6.5
Hrithik Roshan,6.07
Neha Sharma,5.04
Natalie DP,6.6
Shobhna Samarth,7.2
Avani Modi,4.2
Rahul V. Chittella,6.6
Mumtaz Shanti,6.825
Vats Amit,4.3
Alok Nath,7.949999999999999
Bhavita Anand,4.1
Saloni Aswani,4.5
Deepak Tijori,4.9
Madhu Shalini,2.5
Rimpoche Dorje,6.1
Anand,5.4
Glenn,2.7
Tapas Pal,6.5
Naveen Kaushik,5.7
Poonam Kaur,3.7
Taapsee Pannu,6.764285714285714
Mamhoud Chokrollahi,6.0
Vanya Joshi,7.3
Akshay Kapoor,4.8
Asin Thottumkal,4.85
Karann Nathh,4.133333333333334
Paoli Dam,5.800000000000001
Kavin Dave,5.45
Alieesa P Badresia,5.2
Keshavrao Date,6.9
Dino Morea,4.231428571428571
Sudheer Babu Posani,6.9
Habeeb Aidroos,5.3
Sylvester Stallone,3.9
K.J. Linhein,6.4
Laj Badlani,9.3
Sandali Sinha,3.1
Sarika,6.55
Rima Mishra,7.1
Aruna Raje,6.949999999999999
Shivarajkumar,7.3
Kishore Kumar G.,6.9
Madhuri Dixit,5.873454545454545
Shriya Saran,5.8500000000000005
Ajay Naidu,7.0
Pawan Kumar Sharma,4.9
Akash Adhikari,7.6
Dimple Kapadia,5.806666666666667
Shernaz Patel,6.8
Anushka Shetty,4.8
Sneha Ullal,4.7
Habib Azmi,6.8
Shyam Kumar,6.5
Amit Purohit,6.4
Dilip Arya,7.3
Nilamadhab Panda,7.733333333333333
Digangana Suryavanshi,5.2
Abir Chatterjee,6.9
K. Vijayan,6.9
Ayesha Takia,6.40625
Bipasha Basu,4.323611111111111
Sonia Sahni,4.5
Mannara Chopra,4.4
Sachiin Joshi,4.866666666666667
Suraj Sharma,7.9
Bipin Gupta,2.8
Masum Ali,5.6
Akshay Anand,4.3
Tod Polson,5.9
Bahadur,6.5
Lillete Dubey,5.8
Amit Pachori,5.75
Judi Dench,6.6
Archana Gautam,6.2
Prateik,5.42
Tottempudi Gopichand,6.04
Archana Kotwal,3.3
Bina Rai,6.86
Alia Bhatt,5.800000000000001
Prabhu Deva,4.654166666666667
Vatsal Sheth,5.1
Gulnaz Siganporia,8.6
Neetu Singh,6.270588235294118
Kamna,3.7
Uttara Baokar,6.3
Dimple Chauhan,9.3
V. Ravichandran,5.65
Bijoy Dey,7.5
Ahmed Chaudhary,3.9
Jyoti Sethi,6.0
Mast Ali,6.949999999999999
Amitabh Bachchan,6.297972972972973
Vijayshanti,6.725
Rishi Verma,6.8
Meenakshi Sheshadri,6.084375
Manohar Elavarthi,6.3
Kartika Rane,6.4
Sanghavi,6.9
Sandhya Mridul,6.2
Dada Kondke,6.8
Janhvi Kapoor,4.9
Swapnil Joshi,5.9
Karan Singh Grover,5.5
Benjamin Gilani,6.35
Vijayalalitha,7.5
Shriya Sharma,7.7
Akanksha,6.6
Ravi Kishan,5.275
Sarah Jane Dias,6.55
Indrajeet Soni,3.9
Tanmay Ssingh,7.6
Geeta Bali,7.007142857142857
Shakirul Alam,7.5
Aditi Rao Hydari,4.8500000000000005
Trivikram Mattoo,7.9
Ruby Ahmed,3.6
Ellora Patnaik,6.0
Andrea Miglio Risi,6.3
Ashmit Patel,3.975
Kushboo,5.2
Sandeep Bharadwaj,5.3
Faisal Khan,5.949999999999999
Varun Bhagwat,6.1
Sid Makkar,4.3
Shashi Kapoor,6.663235294117648
Saahil Prem,4.449999999999999
Vaibhav Chauhan,6.050000000000001
Prem Krishan,7.0
Kookie Gulati,6.8
Utkarsh Sharma,5.3
Mohit Chadha,6.5
Aahana Kumra,6.35
Monali Thakur,7.9
Tarla Mehta,6.5
Ayushmann Khurrana,6.678571428571429
Khushi Hajare,6.8
Meghna Naidu,4.1
Jassie Gill,6.8
J.P. Chandrababu,6.6
Anjum Nayar,4.6
Kay Kay Menon,6.4125
Vinay Pathak,6.357692307692307
Nayanthara,5.3
Deepal Shaw,6.5
Zoa Morani,5.2
Nameeta Chandra,7.6
Raima Sen,6.1125
Shraddha Kapoor,5.477777777777778
Deepti Naval,6.470000000000001
Lalita Pawar,6.95
Anil Reji,6.3
Neel Bakshi,6.9
Siddharth Gupta,5.3
Anand Gandhi,8.3
Soumitra Chatterjee,7.3
Ranveer Singh,5.94375
Kirti Reddy,3.5
Teeshay,5.7
Mishika Chourasia,2.3
Devaraj,6.5
Simer Motiani,5.5
Biswanath Basu,5.4
Karanvir Sharma,5.75
Master Sagar Punjabi,3.5
Kristin Kreuk,3.7
Hsieh Chang Hai,6.2
Ashwani,7.3
Prakash Jha,5.6
Diana Penty,5.925
Zain Khan Durrani,7.5
Zeenat Aman,6.425357142857143
Zia Mohiyuddin Dagar,7.8
Shyam,6.4
Sardar Akhtar,7.2
Disha Pandey,5.2
Vijayendra Ghatge,4.8
Jiiva,3.5
Rupa Bhimani,5.85
Chetan Hansraj,8.2
Joginder Shelly,5.0
Shubha Khote,8.0
Rajesh Bhardwaj,5.3
Soumi Saha,8.9
Somesh Agarwal,6.675
Shafiq Syed,8.0
Sudha Chandran,6.85
Varun Mitra,6.0
Vivek Sudershan,2.1
Nithiin,4.433333333333334
Barkha Madan,6.4
Asha Parekh,6.766666666666667
Ravi Anand,3.8
Manuj Bhaskar,6.2
Arman Kohli,3.9625
Shivam Patil,3.2
Dan Dhanoa,5.8
Salam Babu,8.0
Ajit,6.25625
Vinod Acharya,6.4
Joe Anderson,6.2
Kamala Kotnis,7.1
Naseem Banu,6.4
Tia Bhatia,5.4
Rajat Kapoor,6.737500000000001
Vikram Chatterjee,6.8
Meezaan Jafri,6.0
Ishrat Ali,4.923636363636364
Saayli Buva,3.6
Vimi,6.15
Marc Robinson,6.2
Ameesha Patel,3.3923076923076927
Chirag Thakkar,6.0
Imran Ahmed Khan,5.3
Rajesh Dubeay,5.9
Freny Bhagat,4.2
Meghna Malik,4.2
Swapnesh Sawant,7.1
Deepak Malhotra,6.3
Kimi Katkar,4.629999999999999
Shakuntala Barua,7.4
Smita Patil,6.5323232323232325
Ganpat G. Shinde,6.7
Reem Shaikh,2.4
Sheetal Bavishi,5.0
Mayank Tewari,7.1
Masumeh Makhija,3.9000000000000004
Aubrey K. Miller,5.8
K.K. Raina,6.9
Raj Kapoor,7.177665441176471
Sachin Nayak,6.6
Saahil Chadha,4.55
Mishti,4.2
Lisa Ann Walter,7.7
Sharbani Mukherji,5.9
Divya Bharti,5.378571428571428
Sadiq Ali,7.7
Mahima Chaudhry,4.5183333333333335
Shashikala,6.2
Rajeev Kanakala,5.85
Rajeev Verma,4.3
Isabelle Adjani,3.8
Ranga Rao Kurra,7.0
Eddie Billimoria,7.0
Shabana Azmi,6.550082236842105
Sunny Deol,5.095391949152543
Sujata Mehta,7.0
Dolly,3.6
Mahima Gupta,7.5
Syna Anand,7.5
Bindiya Goswami,6.74
Nushrat Bharucha,6.4
Shrunga B.V.,5.9
Shalini Chandran,6.1
Rajasekhar,6.2
Suriya,9.1
Ashish Kattar,5.8
Ajay Kumar Singh,5.8
Vira Sathidar,7.7
Acchui,5.6
Akshay Oberoi,6.1416666666666675
Saeed Jaffrey,6.566666666666666
Saurav Chakraborty,6.7
Himani Chawla,3.1
S.P. Balasubrahmanyam,4.95
Sara Foster,6.2
Alisha,5.35
Nikita Thukral,6.8
Kirshan Kumar,2.3
Megastar Maharishi Aazaad,5.7
Tejaswini Manogna,9.3
Nicolas Chevaillier,5.3
Amar Dutta,8.2
Chandan Kumar,5.3
Ishita Arun,3.9
Jayaprakash Radhakrishnan,6.7
Tanvi Jain,7.2
S.M. Zaheer,7.3
Adeel Chaudhry,6.7
Yuvika Chaudhary,3.95
Audrie Woodhouse,4.2
Jatin Goswami,6.3
Dheer Momaya,6.6
Rekha Mishra,6.8
Sangeeta Bijlani,5.85
Ibra Khan,3.5
Sunil Dutt,6.461416490486258
Bindiya,6.3
Kajal Aggarwal,5.716666666666667
Mohan Babu,7.404999999999999
Niveditha,7.9
Rajan Sippy,5.6
Vega Tamotia,5.6
William Cully Allen,6.4
Nakuul Mehta,3.4
Sreelekha Mitra,5.6
Bhakti Bhansali,5.2
Radha Saluja,7.15
Revathi,7.0
Krishnamurthy,5.9
Naveen Bawa,2.4
Tanya Singh,4.4
Rohit Pandey,6.5
A. Nairang,6.1
Hugh Bonneville,6.7
Ragini,6.45
Anisa Butt,5.1
Salim Abubaker,6.2
Anuradha,5.6
Manish Robin,4.4
Jeetendra,5.568728956228957
Sanjay Sharma,5.449999999999999
Abhay Deol,6.573863636363637
Deepraj Rana,3.5
Mantra,5.8
Raja Chaudhary,6.65
Parvathy Omanakuttan,5.2250000000000005
Nitin Goel,6.3
Mayur Mahendra Patole,7.6
Motilal,7.15
Sidharth Bhardwaj,8.85
Mimoh Chakraborty,3.7666666666666666
Harshaali Malhotra,8.0
Israil Khan,4.1
Monis Khan,9.0
Ramnita Chaudhry,4.8
Dinesh Lamba,4.4
Shiney Ahuja,5.5
Shilpa Shetty Kundra,4.29375
Josh Hartnett,4.6
Kiran Janjani,3.725
Vani Vashishth,5.9
Sohini Sarkar,7.6
Shantanu Ray Chhibber,4.15
Denise Richards,3.9
Jay Mehta,7.0
Kanti Shah,5.3
Aydah El-Kashef,8.1
Seema Bilong,6.1
Manish Gupta,5.4
Neha Oberoi,3.3
Dilip Mestry,6.2
Jayshree Gadkar,5.7
Gracy Singh,4.375
Vedshree Rao,8.8
Danish Bhatt,3.8
Kapil Arya,2.7
Narottam Bain,8.8
Urvi Ashar,5.2
Sajid Ali,8.0
Rohit Kokate,6.0
Riteish Deshmukh,4.772857142857143
Madiha Imam,5.8
Krishna Chaturvedi,4.0
Shakur Sir,4.2
Arvind Kejriwal,8.7
Jaya Prada,5.678787878787879
Yagnaseni Jena,6.5
Amit,3.3
Suchitra Krishnamoorthi,4.475
Attin Bhalla,3.7
Deepak Parashar,4.65
Kirti Azad,7.5
A.K. Hangal,6.925000000000001
Omkar Kapoor,6.9
Arjun Sarja,6.25
Ambika Kamal,6.2
Indra Kumar,3.3
Kamini Bhatia,5.2
Sonya Jehan,5.0
Yami Gautam,5.862500000000001
Ruhi Singh,4.0
Ayesha Jhulka,4.666666666666667
Uplaksh Kochhar,6.6
Krishna Ghattamaneni,6.949999999999999
Sonarika Bhadoria,3.1
Dhanshree Jain,6.4
Manish Bhawan,7.0
Rigzin Dolkar,6.6
Sheeba,4.5
Aruna Irani,6.525
Kanika Batra,7.05
Mansoor Ali Khan,7.0
Devaki Singh,3.5
Krishan Dhawan,6.2
Carl Weyant,5.0
Vijay Arora,6.949999999999999
Tim Lawrence,6.1
Vrajesh Hirjee,4.9
Tripti Dimri,7.199999999999999
Veena,7.65
Kashmira Shah,4.675000000000001
Mohan Agashe,6.06875
Sanya Malhotra,6.9750000000000005
Ragesh Asthana,5.0
Nagma,5.833333333333333
Aryan Neeraaj Anand,6.75
Sonika Chopra,7.1
Vaishnavi Patwardhan,4.3
Prem Adib,7.2
Surendra Kumar,6.1
Aslam Khan,4.4
Manohar Singh,7.2
Swati Kapoor,5.4
Mahnour Shadzi,6.0
Saloni Batra,7.2
Ekavali Khanna,6.3
Preeti Desai,4.2
Sucheta Paushe,6.0
Sheila Naidu,5.8
Owen Wilson,5.65
Amrita Arora,3.925
Nachiket Patwardhan,7.7
Prince Daniel,5.7
Kuldeep Chaturvedi,5.0
Kabir Bedi,5.45
Manisha Kelkar,5.9
Manish Kumar,6.2
Muzamil Ibrahim,5.0
Amitkumar Sharma,5.5
Sanoj R. Mishra,6.766666666666666
Zaira Wasim,7.8
Sheena Chohan,4.4
Vikas Giri,5.8
Raju Singh,6.9
Saba Qamar,7.9
Nishat Mallick,3.3
Rohit Krishnakant Nayyar,4.4
Pallavi Joshi,7.3
Chetanya Adib,4.8
Akanksha D. Sharma,6.3
Prakash Kovelamudi,6.7
Talat Jani,3.3
Bruce Parry,7.4
Vijay Ashok Sharma,7.3
Subodh Maskara,7.2
Prashanth,5.216666666666667
Master Salman,7.9
Shambhavi Kaul,6.05
Abhay Joshi,7.7
Zulfi Sayed,5.2
Chirag Malhotra,5.9
Gurdas Maan,5.5
Kunal Sharma,5.8
Adrianne Palicki,6.0
Nafisa Ali,5.766666666666667
Shakeel Bharati,8.0
Suresh Oberoi,5.175
Jagadish,6.3
Malavikka,4.1
Bhanu Pratap Singh,6.0
Geetanjali Thapa,7.26
Riddhi Sen,5.6
Prerika Arora,5.1
Shalini Pandey,7.2
Nataneya Singh,4.8
Avinash Wadhawan,5.15
Gaurav Paswala,4.2
Partho A. Gupte,7.6
Rishi Rehan,3.7
Kamal Adib,5.4
Yashaswini Dayama,5.4
Madhur Mittal,4.5
Sonal Chauhan,6.9
Sulochana Latkar,6.65
Kurush Deboo,3.95
Nimmi,6.517857142857142
Diane Allemon,6.3
Rahul Jaiswal,5.0
Robin Das,7.7
Tabu,5.61275
Sandeep Yadav,8.3
Ashfaq,9.6
Diamber,3.8
Nikita Dutta,6.1
Siddharth Menon,6.05
Tanima Bhattacharya,7.4
Naveen Kasturia,7.1
Dharmendra,6.098575549945907
Rishma Malik,5.1
Aditi Sudhir Pohankar,6.8
Deeksha Seth,4.9
Srivinay Salian,4.7
M. Ismail,7.0
Alma S. Grey,5.0
Chamkara,6.6
Suhaas Ahuja,5.5
Nargis,7.329545454545455
Chirag Arora,8.9
Rohit Kumar Sharma,5.0
Ahmareen Anjum,7.6
Sourabh,3.9
Jaideep Ahlawat,5.5
Kumar Gaurav,5.928571428571429
Isha Sharvani,4.2
Aarya Adhav,8.3
Indrani Haldar,6.5
Nassar,6.4125
Sorabh Chauhan,6.8
Parveen Kaur,6.8
Kishori Ambiye,6.7
Narayan Singh Sisodia,5.0
Vijay Raaz,6.43
Bhole Baba,7.3
Badshah,4.0
Rafiq Batcha,5.2
Monalisa,4.8
Rajniesh Duggall,4.9975000000000005
Shilpa Navalkar,5.4
Vickrant Mahajan,5.9
Rajendra Prasad,6.199999999999999
Tara Sharma,4.2
Brendra N. Gochhikar,7.9
Anupama,7.0
Sudhir Ahuja,7.0
Salil Ankola,8.0
Aparshakti Khurana,6.3
Rohan Shroff,5.5
Nikhil Dwivedi,4.3999999999999995
Deepak,6.1
Biswajit Chatterjee,6.500694444444445
Harish,5.366666666666666
Aditi,6.9
Ravali,4.2
Deepak Antani,7.6
Shweta Tripathi,6.525
Asha Devi,8.2
Radha Bhatt,6.4
Shinnosuke Yakuwa,6.8
Coral Bhamra,6.3
Kalpana Kartik,7.0
Uppekha Jain,5.8
Shreyas Talpade,5.388888888888889
Sumeet Vyas,6.15
Yogesh Raj Mishra,5.1
Vikram,6.266666666666667
Mandakini,5.433333333333334
Bhavana Singh Chauhan,5.7
Saurabh Shukla,5.9
Indu Prasad,7.3
Anuj Sachdeva,4.4
Sumalatha,4.8
Mohsin Khan,4.95
Ali Fazal,5.04
Rani Mukerji,5.795454545454545
Richa Sharma,2.7
Abdul Rehman Sheikh,4.2
Iqbal Khan,4.6
Nicolos Kostopoulos,7.6
Imran,4.5
Rupak Ginn,7.5
Shiv Panditt,5.925000000000001
Shibana Dutta,8.1
Shiva Shambh Bhatt,9.2
Chutki,5.7
Riya Sisodiya,7.4
Krishnendu Adhikari,5.4
Smita Gondkar,7.3
Genelia D'Souza,6.18
Amit Bhardwaj,8.1
Jaspal Bhatti,7.4
Atul Srivastava,5.1
John Abraham,5.898188405797102
Tinnu Anand,4.737500000000001
Meena Kandasamy,7.0
Laila Rouass,6.5
Ajita,3.1
Akshat Bhatia,4.2
Saroja Devi B.,7.183333333333334
Richa Pallod,5.1
Sayaji Shinde,5.7
Anshul Chobey,7.2
Naved Aslam,6.7
Murari Kumar,6.9
Sunny Pawar,6.5
Akshat Verma,7.6
Furqan Merchant,5.9
Ranjit Kapoor,5.2
Satyajeet Dubey,4.85
Rajesh Tailang,7.25
Sushma Ahuja,7.0
Naseeruddin Shah,6.333668076109936
Vinay Forrt,5.6
Ravi Teja,5.199999999999999
Sanjay Deyali,8.0
Ryan Bajornas,5.6
Sulakshana Pandit,5.66
Michalina Olszanska,4.5
Vishnuvardhan,7.1
Ameer Sultan,8.5
Rajveer Singh,4.8
Sanjay Kapoor,4.758333333333333
Javed Abdi,3.6
Soundarya Sharma,7.3
Ravi Kapoor,3.5
Dheeraj Bishnoi,5.7
Kirti Kulhari,5.875
Tina Rana,5.7
Harman Baweja,4.959999999999999
Ravi Baswani,6.666666666666666
Milind Gunaji,5.9
Mischa Barton,7.2
Vidyut Jammwal,6.028571428571429
Dasharth,7.1
Suneeta Sengupta,5.6
T.N. Balakrishna,8.6
Sharwanand,5.9
Sridhar,5.3
Sahher Bambba,4.6
Akshay Kaushal,8.5
Gaurav Chowdhary,7.5
Rehana Sultan,6.65
Sikandar Khanna,6.3
Himanshu Bhatt,6.1
Viveka Babajee,3.8
Beena Bannerjee,6.4
N.T. Rama Rao,7.633333333333333
Sobhan Babu,7.3
Mala Mukherjee,6.5
Bilal Amrohi,3.3
Veer Arya,2.0
Disha Patani,3.3
Asrani,4.962745098039216
Pankaj Dheer,6.35
Upasna Singh,4.6
Balraj Sahni,6.964583333333334
Mehul Adwani,6.0
Rashmi Somvanshi,6.9
Vishal Arya,8.3
Rituparno Ghosh,5.9
Lezlie Tripathy,6.6
Fathima Babu,5.1
Ava Mukherjee,6.2
Katrina Kaif,5.7555555555555555
Vijayachander,7.7
Shubhi Ahuja,3.7
Vijay Kashyap,7.0
Himansh Kohli,4.6000000000000005
Vaani Kapoor,3.9
Anjali Paigankar,6.9
Ayesha Shroff,6.1
Harisree Asokan,3.2
Mohinder Gujral,5.8
Shrivastava Anushka,4.1
Bhanu Bannerjee,7.9
Mahesh Bhatt,5.9
Manager Cheena,6.1
Tarush Waghela,6.5
Reema Debnath,2.3
Richa Kalra,8.6
Anjala Zaveri,5.066666666666666
Bhagyashree,5.883333333333334
C.S. Dubey,5.8
Meera,3.85
Arjun Kapoor,5.094047619047619
Pavan Buragohain,6.8
Jackie Shroff,5.099518140589568
Jana Sue Memel,4.3
Sunny Kaushal,6.25
Allu Arjun,6.2
Sheila Ramani,7.3
Natasha Fernandez,2.5
Negar Khan,3.75
Ajith Kumar,4.65
Vinod Khanna,5.853205128205128
Ayaan Ahmad,3.6
Shivam Bhaargava,5.0
Diveyaa Dwivedi,6.5
Ravi Dubey,6.9
Saswata Chatterjee,7.7
Om Shivpuri,6.8
Aham Sharma,6.5
Pawan Tiwari,6.5
Aishwarya Rai Bachchan,5.918333333333333
Zhangke Jia,5.5
Roja,6.65
Biswarup Biswas,5.4
Abbas,5.133333333333333
Jeevan,5.7
Monica Bedi,6.050000000000001
Vikram Singh,3.4
Ram Govind,5.5
Mahmud Babai,3.5
Asit Kumar Sen,7.2
Thomas Tevana,3.6
Prakash Mehra,6.7
Nora Fatehi,6.35
Ishita Dutta,4.4
Salem Bahwan,4.3
Jass Bhatia,6.0
Nivedita Bhattacharya,4.75
Kulbhushan Kharbanda,6.48
Ruchika Muchhala,6.1
Alok Chaturvedi,7.1
Mohan Gokhale,6.5
Jitendra Tiwari,5.7
Swaran Lata,7.2
Hritu,3.2
Sooraj Pancholi,3.8666666666666667
Chunky Panday,5.1
Ali Khan,3.1
Catherine Tresa,5.3
Danny Denzongpa,6.55
Amit Dhamija,3.7
Jayanthi,5.3
Jitender Bhargava,2.6
Saaikat Bagbaan,5.4
Antara Mali,5.1
Karisma Kapoor,4.4625
Anil Nagrath,4.65
Aashish Chaudhary,5.033333333333333
Anjali Abrol,3.7
Mouli Ganguly,6.2
Rani Sinha,2.4
Sagar Bhangade,6.1
Kamini Kaushal,7.133333333333334
Banerjee,6.0
Abuzar Akhtar,4.0
Md. Faiz Alam,7.8
Saba Joshi,5.6
P.P. Bajaj,9.1
Begum Para,7.7
Vivek Mushran,5.0874999999999995
Jalal Agha,6.25
Neha Chauhan,8.3
Pakija Begam,6.8
Gita Adhikari,7.1
