Actor 1,Rating_Actor1,Actor 2,Rating_Actor2,Director,Rating_Director
Amjad Khan,5.3,Amjad Khan,6.9,Amjad Khan,4.3
Ammara Ali,4.9,,,,
Amol Palekar,7.061538461538461,Amol Palekar,6.92,Amol Palekar,6.640000000000001
Amole Gupte,8.4,,,Amole Gupte,6.466666666666666
Amrish Puri,6.6,Amrish Puri,6.366666666666667,,
Amrit Raj Gupta,7.2,,,,
Amrita Acharya,4.9,,,,
Amrita Arora,4.4,Amrita Arora,3.925,,
Amrityan,6.4,,,,
Amy Maghera,6.6,Amy Maghera,5.1,,
Amyra Dastur,5.8,Amyra Dastur,3.9333333333333336,,
Amyth Sethi,4.2,,,,
Anamitra Roy,6.1,Anamitra Roy,6.1,,
Anand,4.5,,,Anand,4.8
Anand Balraj,4.875,Anand Balraj,6.9,Anand Balraj,3.9
Anand Gandhi,8.3,,,Anand Gandhi,8.1
Anand Sami,6.7,,,,
Anand Tiwari,5.7,Anand Tiwari,7.7,Anand Tiwari,7.2
Anang Desai,7.2,,,,
Anant Nag,7.2,Anant Nag,6.833333333333333,,
Anay,3.2,,,,
Angeilla Dobson,4.7,,,,
Aniket Vishwasrao,6.2,,,,
Anil Chahar,8.6,,,,
Anil Charanjeett,7.5,,,,
Anil Chatterjee,6.55,,,,
Anil Devgan,4.0,,,Anil Devgan,4.2
Anil Dhawan,5.716666666666666,Anil Dhawan,6.975,,
Anil Kapoor,5.59433962264151,Anil Kapoor,5.375,,
Anil Nagrath,5.2,Anil Nagrath,4.3,,
Anil Pandey,7.6,,,,
Anil v Kumar,4.2,,,,
Anisa Butt,5.1,,,,
Anita,4.3,,,,
Anita Guha,6.6,Anita Guha,6.866666666666667,,
Anita Kanwar,7.05,Anita Kanwar,6.9,,
Anitav Bachchan,6.5,,,,
Anjali Patil,6.8,Anjali Patil,6.3,,
Anjori Alagh,7.2,,,,
Anju Bawra,8.6,,,,
Ankit Desai,7.0,,,,
Ankur,6.3,,,,
Ankur Tewari,6.3,,,,
Ankur Vikal,5.0,Ankur Vikal,7.25,,
Ankush Chaudhari,6.2,,,,
Anmol,5.0,,,,
Anmol Dhillon,4.5,,,,
Anmol Goswami,6.5,,,,
Annapoorna,5.35,Annapoorna,6.0,,
Annu Kapoor,4.0,Annu Kapoor,6.35,Annu Kapoor,7.0
Anshu,6.3,,,,
Anshuman Jha,5.05,Anshuman Jha,6.949999999999999,,
Anubhav Dixit,7.5,,,,
Anubhuti Kashyap,6.6,,,,
Anuj Jain,6.0,,,,
Anuj Sachdeva,4.4,,,,
Anuj Saxena,4.9,,,,
Anuj Tyagi,7.9,,,,
Anup Das,5.4,,,Anup Das,4.4
Anupam Bhattacharya,6.0,,,,
Anupam Kher,5.873333333333333,Anupam Kher,5.37,Anupam Kher,5.5
Anuraag,5.5,,,,
Anuradha Hasan,7.0,,,,
Anurag Arora,5.9,,,,
Anurag Jha,5.7,Anurag Jha,5.4,Anurag Jha,5.550000000000001
Anurag Kashyap,3.7,Anurag Kashyap,6.066666666666667,Anurag Kashyap,7.385714285714286
Anurita Jha,6.2,Anurita Jha,4.6,,
Anushka Sharma,6.675,Anushka Sharma,6.35,,
Anushka Shetty,3.9,Anushka Shetty,5.699999999999999,,
Apache Indian,5.1,,,,
Aparajita,4.775,Aparajita,4.333333333333333,,
Aparna,4.6,,,,
Aparshakti Khurana,6.3,,,,
Apoorva Arora,7.3,,,,
Aps Raghuvanshi,6.7,,,,
Arathi,7.1,,,,
Aravind Akash,7.3,,,,
Aravind Sen,6.9,,,Aravind Sen,6.025
Arbaaz Khan,3.766666666666667,Arbaaz Khan,6.35,Arbaaz Khan,4.8
Arif Zakaria,7.699999999999999,Arif Zakaria,6.5,,
Arjan Bajwa,6.4,Arjan Bajwa,5.0,,
Arjun,5.3,Arjun,4.699999999999999,,
Arjun Chakrabarty,8.7,,,,
Arjun Chakraborty,6.9,,,,
Arjun Hingorani,6.4,,,Arjun Hingorani,5.55
Arjun Kapoor,5.616666666666667,Arjun Kapoor,4.571428571428571,,
Arjun Manhas,6.9,,,,
Arjun Mathur,6.35,Arjun Mathur,6.2,,
Arjun Radhakrishnan,7.2,,,,
Arjun Rampal,5.358823529411764,Arjun Rampal,5.38,,
Armaan Jain,4.9,,,,
Arman Kohli,4.6000000000000005,Arman Kohli,2.95,,
Armen Grayg,4.2,,,,
Arsh Bajwa,6.6,,,,
Arshad Khan,4.4,Arshad Khan,5.9,Arshad Khan,4.88
Arshad Warsi,5.061538461538461,Arshad Warsi,5.972727272727273,,
Arti Rautela,6.4,,,,
Arun Bakshi,4.811111111111111,Arun Bakshi,5.016666666666667,,
Arun Govil,5.85,Arun Govil,7.1,,
Arun Mathur,4.3,,,,
Aruna Irani,6.1000000000000005,Aruna Irani,6.4,,
Aruna Raje,6.8,,,Aruna Raje,4.8
Arunoday Singh,6.5,Arunoday Singh,3.0,,
Arvind,7.5,Arvind,6.2,,
Arvind Gadgil,5.7,,,,
Arvind Kasera,3.6,,,,
Arvind Singh Rajpoot,5.6,,,,
Arvind Swamy,5.2,Arvind Swamy,7.0,,
Arvinder Bhatti,5.1,,,,
Arya,4.2,,,,
Arya Babbar,3.8,,,,
Arya Dave,7.4,Arya Dave,6.6,,
Aryan Neeraaj Anand,4.5,Aryan Neeraaj Anand,9.0,Aryan Neeraaj Anand,9.0
Aryan Vaid,4.9,Aryan Vaid,4.3,,
Asad Shan,5.2,,,Asad Shan,5.2
Aseem Ali Khan,3.9,,,,
Asha Bhosle,6.7,,,,
Asha Devi,8.2,,,,
Asha Parekh,6.7846153846153845,Asha Parekh,6.814285714285715,,
Asha Sachdev,7.2,Asha Sachdev,5.7,,
Ashima Bhalla,3.7,,,,
Ashish Bisht,4.3,,,,
Ashmit Patel,3.5,Ashmit Patel,4.45,,
Ashok Chaudhary,7.6,,,,
Ashok Kumar,6.540659340659341,Ashok Kumar,6.452173913043478,Ashok Kumar,4.6
Ashrita Agarwal,4.5,,,,
Ashutosh Gowariker,8.0,,,Ashutosh Gowariker,6.300000000000001
Ashutosh Rana,5.8500000000000005,Ashutosh Rana,5.125,,
Ashwath Bhatt,8.1,,,,
Ashwin Dhar,5.9,,,,
Ashwini Bhave,5.3,Ashwini Bhave,5.2,,
Asif Basra,7.85,Asif Basra,4.966666666666666,,
Aspar Husain,6.9,,,,
Asrani,5.054545454545455,Asrani,5.466666666666667,Asrani,5.55
Atif Jamil,3.5,,,,
Atif Rashid,7.7,,,,
Atma,8.1,,,,
Attin Bhalla,4.4,,,,
Atul Agnihotri,4.1,Atul Agnihotri,5.15,Atul Agnihotri,3.85
Atul Hanwat,7.0,,,,
Atul Kulkarni,5.8999999999999995,Atul Kulkarni,6.300000000000001,,
Atul Srivastava,5.1,,,,
Augustine,4.0,,,,
Auroshika Dey,2.7,,,,
Ava Mukherjee,6.2,,,,
Avalokita Dutt,6.6,,,,
Avani Rai,6.4,,,Avani Rai,6.4
Avantika Akerkar,6.5,,,,
Avii,5.9,,,,
Avijit Dutt,2.5,,,,
Avinash Arun,7.0,,,,
Avinash Dhyani,5.1,,,Avinash Dhyani,5.3
Avinash Tiwary,7.8,Avinash Tiwary,6.6,,
Avinash Wadhawan,4.95,Avinash Wadhawan,5.3,,
Ayaan Ahmad,3.6,,,,
Ayaz Ahmed,5.8,,,,
Aydah El-Kashef,8.1,,,,
Ayesha Jhulka,4.2,Ayesha Jhulka,4.9125,,
Ayesha Takia,7.2,Ayesha Takia,5.6125,,
Ayub Khan,5.1,,,,
Ayush Upadhyay,7.9,,,Ayush Upadhyay,7.9
Ayushmann Khurrana,7.057142857142857,Ayushmann Khurrana,6.3,,
Azaad Irani,3.8,Azaad Irani,5.7,,
Aziz Naser,6.4,Aziz Naser,6.6,Aziz Naser,6.05
B.K.S. Iyengar,6.7,,,,
Baba Sehgal,4.3,,,,
Babu Antony,3.4,,,,
Baby Rani,6.7,,,,
Balakrishnan Thevar,2.4,,,,
Baldev Khosa,6.8,,,,
Balraj Sahni,7.130769230769231,Balraj Sahni,6.62,,
Bandana Basnett,7.9,,,,
Barkha Madan,6.3,,,,
Barun Sobti,6.55,,,,
Basant Josalkar,7.2,,,,
Beena Banerjee,5.95,Beena Banerjee,5.14,,
Beena Bannerjee,6.4,,,,
Begum Para,7.45,,,,
Ben Kingsley,8.0,,,,
Benaf Dadachandji,7.9,,,,
Benny John,9.0,Benny John,9.0,,
Bhagyashree,3.85,Bhagyashree,7.949999999999999,,
Bhalchandra Shukla,6.2,,,,
Bhankheri Devi,7.1,,,,
Bhanu,4.5,,,,
Bhanu Pratap Singh,6.0,,,Bhanu Pratap Singh,5.4
Bhanupriya,4.1,Bhanupriya,5.533333333333334,,
Bharat Balani,6.2,,,,
Bharat Bhushan,6.411111111111111,Bharat Bhushan,6.246153846153846,,
Bharat Chawla,8.8,,,,
Bharat Gopy,6.7,Bharat Gopy,7.1,,
Bharath Srinivasan,2.8,,,,
Bharti Achrekar,5.1,,,,
Bhaskar Shetty,5.0,,,Bhaskar Shetty,6.6
Bhaskarabatla Usha,5.7,,,,
Bhavana,4.6,Bhavana,7.2,,
Bhavana Singh Chauhan,5.7,,,,
Bhavesh Kumar,6.8,,,,
Bhavna Mali,6.0,,,,
Bhisham Sahni,7.1,,,,
Bhole Baba,7.3,,,,
Bhumi Pednekar,3.8,Bhumi Pednekar,6.9875,,
Bibbo,8.5,,,,
Bidita Bag,5.766666666666667,Bidita Bag,5.4,,
Bijay Anand,5.0,,,,
Bijoy Dey,7.5,,,,
Bimla Kumari,7.2,,,,
Bina Rai,6.800000000000001,Bina Rai,6.275,,
Binayak Das,5.2,,,,
Bindu,5.4399999999999995,Bindu,5.9,,
Bindu Shukla,2.7,,,,
Bipasha,3.4,,,,
Bipasha Basu,4.155555555555555,Bipasha Basu,4.327272727272727,,
Bipin Gupta,2.8,,,,
Birbal,5.3,Birbal,5.390909090909091,,
Birendra Nath Tiwari,3.7,,,,
Bismillah Khan,8.1,,,,
Biswajit Chatterjee,6.485714285714286,Biswajit Chatterjee,6.5,,
Bob Christo,4.5,,,,
Bobby Darling,9.2,Bobby Darling,3.6333333333333333,,
Bobby Deol,4.788888888888889,Bobby Deol,5.281818181818182,,
Bobby Khan,3.8499999999999996,,,Bobby Khan,3.7
Boman Irani,5.05,Boman Irani,6.4,,
Bonnie Juneja,5.9,,,,
Brahm Bhardwaj,5.2,,,,
Bryan Cranston,6.8,,,,
BuAli Shah,6.2,,,,
C.S. Aasie,3.3,,,,
Cecilia,7.9,,,,
Chaitanya Bhosle,4.6,,,,
Chamkara,6.6,,,,
Chand Mehta,5.2,,,,
Chandan Roy Sanyal,5.6,Chandan Roy Sanyal,7.7,,
Chandgiram,3.8,,,,
Chandni,6.5,Chandni,6.4,,
Chandra Mohan,6.3,,,,
Chandra Shekhar Dutta,6.3,Chandra Shekhar Dutta,7.1,,
Chandrachur Singh,5.433333333333334,Chandrachur Singh,3.6,,
Chandrima Banerjee,4.4,,,,
Charvi Dutta,8.1,,,,
Chetan Hansraj,8.5,Chetan Hansraj,8.2,,
Chetan Sharma,6.4,Chetan Sharma,7.4,,
Chetanya Adeep,3.2,,,,
Chetanya Adib,4.8,,,,
Chinmay Mandlekar,4.8,,,,
Chinnijayanth,6.3,Chinnijayanth,6.9,,
Chirag Malhotra,5.9,,,,
Chirag Paswan,2.5,,,,
Chiranjeevi,6.3076923076923075,Chiranjeevi,6.5,,
Chitra,5.133333333333333,Chitra,5.5,,
Chitram Basha,3.6,Chitram Basha,6.8,,
Chitrangada Chakraborty,7.9,Chitrangada Chakraborty,7.699999999999999,,
Chris Bisson,5.6,,,,
Christopher Coelho,7.7,,,,
Chunky Panday,4.1,Chunky Panday,5.685714285714285,,
Coca Cola,3.8,,,,
Coral Bhamra,6.3,,,,
Cuckoo,6.7,,,,
Cyli Khare,6.0,,,,
Cyrus Broacha,2.8,Cyrus Broacha,8.6,,
Dada Kondke,6.8,,,Dada Kondke,6.8
Daisy Irani,6.0,,,,
Dakshita Patel,5.4,,,,
Daljeet,6.6,,,,
Daljit Ved,6.0,,,,
Danish Khan,4.1,,,,
Danish Raza,5.4,,,Danish Raza,5.4
Danish Singh,6.9,,,,
Danny Denzongpa,7.35,Danny Denzongpa,6.214285714285714,Danny Denzongpa,6.6
Dara Singh,6.25,Dara Singh,5.925,Dara Singh,6.466666666666666
Darshan Kumaar,4.1,,,,
Darsheel Safary,4.0,Darsheel Safary,8.4,,
Dasharth,7.1,,,,
David Abraham,6.5,David Abraham,7.4,,
Debapriyo Bagchi,4.8,,,,
Debashree Roy,5.8,,,,
Debu Bramha,5.9,,,,
Deep Dhillon,6.6,Deep Dhillon,5.8,,
Deep Katdare,6.6,,,,
Deepa Arora,7.8,,,,
Deepa Barot,6.3,,,,
Deepa Sahi,6.300000000000001,Deepa Sahi,5.15,Deepa Sahi,5.3
Deepak,6.1,,,,
Deepak Bahry,4.8,,,Deepak Bahry,4.607692307692307
Deepak Bhatia,6.3,,,,
Deepak Chachra,7.8,,,,
Deepak Chandra,4.3,,,,
Deepak Dobriyal,5.64,Deepak Dobriyal,7.9,,
Deepak Malhotra,6.3,,,,
Deepak Parashar,4.1,Deepak Parashar,5.2,,
Deepak S. Shivdasani,4.7,,,Deepak S. Shivdasani,4.075
Deepak Tijori,4.9,,,Deepak Tijori,4.3
Deepika Amin,6.9,Deepika Amin,7.6,,
Deepika Padukone,6.125,Deepika Padukone,6.107142857142857,,
Deepraj Rana,3.5,,,,
Deepshikha Nagpal,4.7,,,Deepshikha Nagpal,4.7
Deepti Naval,5.86,Deepti Naval,7.133333333333334,,
Deeya Dey,7.4,,,,
Desh Mukherjee,3.9,,,Desh Mukherjee,5.7
Dev Anand,6.7290909090909095,Dev Anand,6.677777777777778,Dev Anand,5.309090909090909
Dev Kumar,4.9,,,,
Dev Patel,7.8,,,,
Dev Sharma,4.6,,,,
Devaki Singh,3.5,,,,
Devayani,3.8,,,,
Deven Bhojani,6.1,,,Deven Bhojani,5.3
Devesh Ranjan,7.8,,,,
Devika Rani,6.279999999999999,,,,
Devyani Cm,5.1,,,,
Dhamini,5.6,,,,
Dhanush,6.433333333333334,Dhanush,6.8,,
Dharmendra,5.926666666666667,Dharmendra,6.286842105263158,,
Dharmendra Ahir,9.4,,,,
Dharmendra Gohil,6.2,,,,
Dharmesh Yelande,4.4,,,,
Dheer Momaya,6.6,,,,
Dhiraj Verma,7.6,,,,
Dhirendra Thakur,8.2,,,,
Dhritiman Chatterjee,7.1,Dhritiman Chatterjee,7.5,,
Dhruv Ganesh,5.8,,,,
Dhruva Padmakumar,8.1,,,,
Dhumal,7.3,,,,
Dhwani Gautam,4.8,,,,
Dia Mirza,5.300000000000001,Dia Mirza,4.811111111111111,,
Diamond Akhtar,8.7,,,,
Diana Penty,6.5,Diana Penty,5.35,,
Diane Allemon,6.3,,,,
Dibakar Banerjee,5.8,,,Dibakar Banerjee,7.383333333333333
Dibyendu Bhattacharya,5.6,,,,
Diganth,3.8,,,,
Dilip Arya,7.3,,,,
Dilip Dhawan,6.9,,,,
Dilip Kumar,7.043333333333334,Dilip Kumar,6.93076923076923,Dilip Kumar,7.7
Dilip Mestry,6.2,,,,
Dilip Tadeshwar,5.3,,,,
Diljit Dosanjh,5.85,Diljit Dosanjh,6.1,,
Dimple Kapadia,5.74,Dimple Kapadia,5.4239999999999995,,
Dinero Ash,8.2,,,,
Dino Morea,4.3,Dino Morea,4.325,,
Dipankar Dey,7.3,,,,
Disha Yadav,7.8,,,,
Dishank Arora,4.3,,,,
Diveyaa Dwivedi,6.5,Diveyaa Dwivedi,6.2,,
Divya Bharti,5.1,Divya Bharti,5.6571428571428575,,
Divya Dutta,5.6000000000000005,Divya Dutta,5.171428571428572,,
Divyendu Sharma,6.25,Divyendu Sharma,6.699999999999999,,
Doddanna,6.7,,,,
Dolly Ahluwalia,6.2,,,,
Dulquer Salmaan,7.7,Dulquer Salmaan,5.9,,
Durba Sahay,6.1,,,,
Durga Khote,6.866666666666667,Durga Khote,7.7,,
Dwij Yadav,6.0,Dwij Yadav,4.8,,
Ehan Bhat,7.4,,,,
Ejaz Ahmed,5.5,,,Ejaz Ahmed,4.7
Ekaansh Bhaardwaaj,3.6,Ekaansh Bhaardwaaj,6.9,,
Ekavali Khanna,6.6,Ekavali Khanna,6.3,,
Elisha Kriis,6.7,,,,
Emma Dean,7.0,,,,
Emraan Hashmi,5.396,Emraan Hashmi,5.8,,
Esmayeel Shroff,6.1,,,Esmayeel Shroff,5.5
Fahad Mustafa,7.8,,,,
Faith,4.0,,,,
Faraaz Khan,4.05,,,,
Fardeen Khan,4.311111111111111,Fardeen Khan,4.92,,
Farhad Ahmed Dehlvi,8.6,,,,
Farhad Samji,4.75,,,Farhad Samji,3.5
Farhan Akhtar,6.328571428571428,Farhan Akhtar,7.6499999999999995,Farhan Akhtar,7.575
Farid Amiri,2.7,Farid Amiri,3.4,,
Farida Jalal,7.7,Farida Jalal,7.8,,
Fariduddin Dagar,7.8,,,,
Farooq Shaikh,6.67,Farooq Shaikh,6.714285714285714,,
Farrukh Seyer,6.6,,,,
Faruque Azam,3.0,,,,
Fearless Nadia,5.875,,,,
Ferdous Ahmed,5.199999999999999,,,,
Feroz Khan,5.885714285714285,Feroz Khan,6.471428571428571,Feroz Khan,5.4
Frank M. Ahearn,4.8,,,,
Freida Pinto,6.0,,,,
Freny Bhagat,4.2,,,,
Gael García Bernal,5.4,,,,
Gajanan Jagirdar,6.8,Gajanan Jagirdar,7.2,,
Gajendra Chauhan,5.8,Gajendra Chauhan,4.6000000000000005,,
Ganesh Acharya,2.9,Ganesh Acharya,6.3,Ganesh Acharya,5.266666666666667
Garima Agarwal,5.7,,,,
Garrick Chaudhary,7.0,,,,
Gaurav Ajay Kaura,4.7,,,,
Gaurav Chowdhary,7.5,,,,
Gaurav Kapoor,3.5,,,,
Gautam Gupta,2.7,,,,
Gavie Chahal,3.8,Gavie Chahal,6.7,,
Gayatri Bahl,5.7,,,,
Geeta Agrawal,7.3,,,,
Geeta Bali,6.325,Geeta Bali,7.083333333333333,,
Geetanjali Thapa,7.2,Geetanjali Thapa,7.1499999999999995,,
Geetika Vidya Ohlyan,7.2,,,,
Gemini Ganesan,6.1,Gemini Ganesan,7.199999999999999,,
Gemma Atkinson,5.9,,,,
Gennadiy Vasilev,5.3,,,,
Ghulam Ali,8.9,,,,
Gillian Anderson,6.9,Gillian Anderson,6.7,,
Giovanna Mezzogiorno,6.3,,,,
Girish Karnad,7.0200000000000005,Girish Karnad,6.366666666666667,Girish Karnad,7.2
Girish Taurani,4.5,Girish Taurani,5.7,,
Gitanjali,6.4,,,,
Glen Barreto,2.7,,,Glen Barreto,5.1
Golshifteh Farahani,5.9,,,,
Gopi Bhalla,4.8,,,,
Gopi Krishna,6.5,,,,
Gouri Ash,6.8,,,,
Govinda,4.823636363636364,Govinda,5.12,,
Gracy Singh,4.5,Gracy Singh,4.233333333333333,,
Gul Panag,4.5,Gul Panag,6.533333333333334,,
Gullu Dada,5.2,,,,
Gulshan Arora,4.2,,,,
Gulshan Devaiah,6.333333333333333,Gulshan Devaiah,5.949999999999999,,
Gulshan Grover,4.8999999999999995,Gulshan Grover,5.45,,
Gulzar,7.0,Gulzar,7.0,Gulzar,7.552941176470589
Gurdeep Singh,6.9,,,,
Gurmeet Choudhary,3.966666666666667,,,,
Gurmeet Ram Rahim Singh,6.066666666666666,Gurmeet Ram Rahim Singh,6.199999999999999,Gurmeet Ram Rahim Singh,6.65
Gurpreet Kaur Chadha,6.1,Gurpreet Kaur Chadha,6.0,,
Guru Dutt,7.425,Guru Dutt,7.383333333333333,Guru Dutt,7.428571428571429
Gyan Shivpuri,4.8,,,,
Gyanesh Mukherjee,7.6,,,,
Habeeb Aidroos,5.3,,,,
Habib Al Aidroos,6.8,Habib Al Aidroos,5.3,,
Hamid Farokhnezhad,2.6,,,,
Hannah Spearritt,5.6,,,,
Hansika Motwani,4.4,Hansika Motwani,4.5,,
Haradhan Bannerjee,7.2,,,,
Harbans Darshan M. Arora,5.1,Harbans Darshan M. Arora,5.5,,
Hardan,7.0,,,,
Hardik Kapadia,7.3,,,,
Harisree Asokan,3.2,,,,
Harkiran Kaur Wraich,8.7,,,,
Harman Baweja,4.959999999999999,,,,
Harsh Dubey,5.4,,,,
Harshvardhan Deo,4.9,,,,
Harshvardhan Kapoor,6.1,,,,
Heeba Shah,6.0,,,,
Helen Mirren,7.3,Helen Mirren,7.6,,
Hema Bisht,8.2,,,,
Hema Malini,5.9125,Hema Malini,6.279166666666666,Hema Malini,3.75
Hemant Birje,4.3125,Hemant Birje,4.325,Hemant Birje,5.0
